Prix,Marque,Modele,Annee,Age,Kilometrage,Energie,Boite_Vitesses,Puissance_Fiscale
66980.0,SKODA,SKODA FABIA 1.0 L MPI Essence,2025,0,0,Essence,Manuelle,4.0
78980.0,SKODA,SKODA KUSHAQ 1.0 TSI Ambition,2025,0,0,Essence,Manuelle,6.0
86980.0,SKODA,SKODA SCALA 1.0 L TSI Essence DSG,2025,0,0,Essence,Automatique,6.0
89980.0,SKODA,SKODA KAMIQ 1.0 L TSI Essence DSG,2025,0,0,Essence,Automatique,6.0
114980.0,SKODA,SKODA OCTAVIA 1.4 TSI Essence BVA,2025,0,0,Essence,Automatique,8.0
155980.0,SKODA,SKODA SUPERB 1.5 TSI Essence DSG,2025,0,0,Hybride,Automatique,8.0
32800.0,AVANTIER,"AVANTIER AVANTIER C
14 KWH Version unique",2025,0,0,Electrique,Automatique,2.0
32190.0,SUZUKI,"SUZUKI CELERIO POPULAIRE
1.0 L GL Version unique",2025,0,0,Essence,Manuelle,4.0
28935.0,KIA,"KIA PICANTO POPULAIRE
1.0 L Version unique",2025,0,0,Essence,Manuelle,4.0
28700.0,CENNTRO,"CENNTRO LOGISTAR 100
16 KWH Version unique",2025,0,0,Electrique,Automatique,2.0
32900.0,DFSK,DFSK K01S Simple Cabine STD,2025,0,0,Essence,Manuelle,5.0
28935.0,CITROËN,"CITROËN C3 POPULAIRE
1.2 L Version unique",2025,0,0,Essence,Manuelle,4.0
28935.0,HYUNDAI,"HYUNDAI GRAND I10 POPULAIRE
1.0 L Version unique",2025,0,0,Essence,Manuelle,4.0
35900.0,DFSK,DFSK K01H Large Cabine 1.1 l STD,2025,0,0,Essence,Manuelle,6.0
40900.0,DFSK,DFSK K02S 1.0 l Double Cabine STD,2025,0,0,Essence,Manuelle,5.0
53480.0,MAHINDRA,"MAHINDRA KUV 100
1.2 L K8 Version unique",2025,0,0,Essence,Manuelle,5.0
40900.0,CHANGAN,"CHANGAN STAR TRUCK DOUBLE CABINE
1.2 L Version unique",2025,0,0,Essence,Manuelle,7.0
49990.0,DONGFENG,DONGFENG BOX 31.4 KWH,2025,0,0,Electrique,Automatique,3.0
53480.0,KIA,KIA PICANTO 1.2 L Smart BVM,2025,0,0,Essence,Manuelle,5.0
54500.0,MAHINDRA,MAHINDRA XUV 300 1.2 L W6,2025,0,0,Essence,Manuelle,6.0
56400.0,SUZUKI,SUZUKI SWIFT 1.2 L GL,2025,0,0,Essence,Manuelle,4.0
51950.0,HYUNDAI,HYUNDAI GRAND I10 1.2 L GLS,2025,0,0,Essence,Manuelle,5.0
62980.0,HYUNDAI,"HYUNDAI GRAND I10 SEDAN
1.2 L Version unique",2025,0,0,Essence,Manuelle,5.0
69900.0,TATA,"TATA XENON X2 SIMPLE CABINE
2.2L TURBO Version unique",2025,0,0,Diesel,Manuelle,7.0
59490.0,CHERY,CHERY ARRIZO 5 1.5 L Comfort BVM,2025,0,0,Essence,Manuelle,7.0
56950.0,DACIA,"DACIA LOGAN
1.0 L TCE ÉCRAN TACTILE Version unique",2025,0,0,Essence,Manuelle,5.0
62990.0,OPEL,OPEL COMBO CARGO 1.6 L Diesel Confort L1H1 650 kg,2025,0,0,Diesel,Manuelle,5.0
62990.0,DACIA,DACIA SANDERO STEPWAY 1.0 L,2025,0,0,Essence,Manuelle,6.0
