Prix,Marque,Modele,Age,Kilometrage,Energie,Boite_Vitesses,Puissance_Fiscale
111110.0,Alfa Romeo,156,24,12500,Essence,Manuelle,8
26500.0,Alfa Romeo,159,16,12500,Diesel,Manuelle,6
38000.0,Alfa Romeo,Giulietta,9,18891,Essence,Manuelle,7
43000.0,Alfa Romeo,Giulietta,9,20222,Essence,Automatique,9
36900.0,Alfa Romeo,Mito,14,10714,Essence,Manuelle,9
32000.0,Alfa Romeo,Mito,13,13692,Essence,Manuelle,5
28000.0,Alfa Romeo,Mito,11,16363,Essence,Manuelle,6
110000.0,Renault,Clio,0,0,Hybride,Automatique,5
11000.0,Audi,100,38,3588,Diesel,Manuelle,7
7000.0,Audi,50,2,68179,Essence,Manuelle,4
18000.0,Audi,80,35,8571,Essence,Manuelle,7
5000.0,Audi,80,44,3099,Diesel,Manuelle,8
17500.0,Audi,80,33,4132,Essence,Manuelle,7
35500.0,Audi,A1,12,14916,Essence,Manuelle,5
35500.0,Audi,A1,12,14916,Essence,Manuelle,5
35800.0,Audi,A1,12,14916,Essence,Manuelle,5
36000.0,Audi,A1,12,10416,Diesel,Manuelle,6
36500.0,Audi,A1,12,14833,Essence,Manuelle,5
68000.0,Audi,A3,7,21428,Essence,Automatique,6
76000.0,Audi,A3,6,20000,Essence,Automatique,6
19700.0,Audi,A3,20,6817,Diesel,Manuelle,8
39000.0,Audi,A3,16,21250,Diesel,Manuelle,6
34000.0,Audi,A3,16,27500,Diesel,Manuelle,6
35500.0,Audi,A3,16,14375,Essence,Manuelle,5
38000.0,Audi,A3,15,14666,Essence,Manuelle,6
30000.0,Audi,A3,15,17200,Diesel,Manuelle,6
37000.0,Audi,A3,14,17857,Diesel,Manuelle,6
42000.0,Audi,A3,12,11363,Essence,Automatique,6
54000.0,Audi,A3,10,24000,Diesel,Manuelle,6
111111.0,Audi,A3,10,13635,Diesel,Manuelle,5
67000.0,Audi,A3,9,17000,Essence,Automatique,10
55000.0,Audi,A3,9,23111,Essence,Manuelle,10
55000.0,Audi,A3,8,17044,Essence,Manuelle,6
85000.0,Audi,A3,6,24333,Essence,Automatique,6
69000.0,Audi,A3,5,21600,Essence,Manuelle,6
30000.0,Audi,A4,18,16666,Essence,Manuelle,7
36000.0,Audi,A4,13,10489,Essence,Manuelle,9
45000.0,Audi,A4,11,22609,Essence,Manuelle,7
78000.0,Audi,A4,6,22726,Essence,Automatique,8
16500.0,Audi,A4,25,5454,Essence,Manuelle,7
20000.0,Audi,A4,22,6198,Essence,Manuelle,7
23000.0,Audi,A4,22,13636,Essence,Manuelle,7
22000.0,Audi,A4,22,6198,Essence,Manuelle,7
25500.0,Audi,A4,20,18500,Diesel,Automatique,7
123456.0,Audi,A4,20,6817,Diesel,Automatique,7
12345.0,Audi,A4,20,6817,Diesel,Manuelle,7
32000.0,Audi,A4,18,7575,Essence,Automatique,10
25000.0,Audi,A4,18,7575,Essence,Manuelle,7
18000.0,Audi,A4,18,7575,Essence,Manuelle,7
29000.0,Audi,A4,17,8021,Diesel,Manuelle,7
39500.0,Audi,A4,14,25714,Essence,Manuelle,7
42000.0,Audi,A4,14,13642,Diesel,Manuelle,8
33000.0,Audi,A4,14,12078,Essence,Automatique,7
50000.0,Audi,A4,14,11928,Diesel,Manuelle,6
37900.0,Audi,A4,13,9692,Essence,Manuelle,7
37900.0,Audi,A4,13,9692,Essence,Manuelle,7
29000.0,Audi,A4,13,10489,Essence,Manuelle,7
36000.0,Audi,A4,13,17538,Essence,Manuelle,7
50000.0,Audi,A4,12,22500,Essence,Automatique,7
36500.0,Audi,A4,12,14666,Essence,Manuelle,7
44000.0,Audi,A4,11,24545,Essence,Automatique,7
45000.0,Audi,A4,11,18454,Essence,Manuelle,7
40000.0,Audi,A4,11,12396,Essence,Manuelle,7
45000.0,Audi,A4,11,12396,Essence,Manuelle,7
43000.0,Audi,A4,11,18545,Essence,Manuelle,7
52000.0,Audi,A4,10,22000,Essence,Manuelle,7
91000.0,Audi,A4,5,21400,Essence,Automatique,8
120000.0,Audi,A4,3,14000,Essence,Automatique,8
119000.0,Audi,A5,6,25000,Essence,Automatique,8
119000.0,Audi,A5,5,12200,Essence,Automatique,7
99000.0,Audi,A6,7,19857,Essence,Automatique,9
15500.0,Audi,Q7,64,2130,Essence,Manuelle,7
87000.0,Audi,Q2,5,28000,Essence,Automatique,6
90000.0,Audi,Q3,6,15000,Essence,Automatique,8
76000.0,Audi,Q3,11,14363,Diesel,Manuelle,8
95000.0,Audi,Q3,8,11375,Essence,Automatique,9
85000.0,Audi,Q3,7,18571,Essence,Automatique,8
49800.0,Audi,Q5,14,12857,Essence,Automatique,13
70000.0,Audi,Q5,11,27272,Diesel,Manuelle,10
53800.0,Audi,Q7,16,12549,Diesel,Automatique,16
36000.0,Audi,S4,24,8625,Essence,Manuelle,9
37900.0,Audi,A4,13,9692,Essence,Manuelle,7
35000.0,Tata,Xénon,5,44800,Diesel,Manuelle,7
60000.0,Renault,Clio,3,37109,Essence,Manuelle,5
134900.0,Cupra,Leon,2,50000,Essence,Automatique,11
99000.0,Volkswagen,Golf,1,34000,Essence,Automatique,5
45000.0,Wallyscar,16,1,5000,Essence,Manuelle,7
8000.0,Renault,Master,0,0,Diesel,Manuelle,8
9800.0,Peugeot,106,29,3918,Essence,Manuelle,4
111000.0,Peugeot,208,24,5922,Essence,Manuelle,6
10700.0,Renault,R19,24,8333,Essence,Manuelle,7
17500.0,Renault,Clio,23,4840,Essence,Manuelle,4
13000.0,Volkswagen,Polo,22,5303,Essence,Manuelle,4
30500.0,Renault,Laguna,15,4333,Diesel,Manuelle,6
23000.0,Renault,Clio,14,7951,Essence,Manuelle,5
42000.0,Dongfeng,S50,13,9278,Essence,Manuelle,6
26500.0,Citroen,C3,12,10165,Essence,Manuelle,5
26500.0,Peugeot,208,11,17000,Essence,Manuelle,5
32000.0,Citroen,C3,7,22000,Essence,Manuelle,4
21500.0,Chery,QQ,7,12857,Essence,Manuelle,4
35000.0,Tata,Xénon,7,40428,Diesel,Manuelle,7
20700.0,Chery,Tiggo,7,8301,Essence,Manuelle,4
31000.0,Tata,Xénon,7,23457,Diesel,Manuelle,7
35000.0,Tata,Xénon,6,23500,Diesel,Manuelle,7
85000.0,Haval,H6,5,13760,Essence,Automatique,9
40000.0,Wallyscar,Iris,5,3400,Essence,Manuelle,4
40000.0,Kia,Picanto,5,19960,Essence,Manuelle,5
123000.0,Haval,H6,5,15800,Essence,Automatique,9
38000.0,Dongfeng,S50,5,96000,Essence,Manuelle,5
85000.0,Haval,H6,4,19180,Essence,Automatique,9
65000.0,ZXAUTO,Grand Tiger,4,18250,Diesel,Manuelle,9
117000.0,Volkswagen,Tiguan,4,15250,Essence,Automatique,8
83000.0,Haval,H6,4,16250,Essence,Automatique,9
43000.0,Dongfeng,S50,4,22000,Essence,Manuelle,6
26000.0,Chery,Tiggo,4,9250,Essence,Manuelle,4
35000.0,Wallyscar,Iris,4,6370,Essence,Manuelle,4
84000.0,Haval,Jolion,3,25574,Essence,Automatique,9
61000.0,Dongfeng,SX3,3,18333,Essence,Manuelle,8
36000.0,Geely,GC6,2,23300,Essence,Manuelle,6
60000.0,Tata,Xénon,2,6250,Diesel,Manuelle,7
36000.0,Baic,S2,7,11142,Essence,Manuelle,7
36000.0,Baic,S2,7,15142,Essence,Manuelle,7
36000.0,Baic,S2,7,13285,Essence,Manuelle,4
33500.0,Baic,S2,7,14457,Essence,Manuelle,7
32500.0,Baic,S2,6,16333,Essence,Manuelle,7
35000.0,Baic,S2,5,13608,Essence,Manuelle,5
40000.0,Baic,S3,5,13608,Essence,Manuelle,7
8500.0,Bmw,E34,33,3984,Essence,Manuelle,11
46000.0,Bmw,Serie 3,13,12461,Essence,Manuelle,6
90000.0,Bmw,F10,12,17083,Essence,Automatique,11
77000.0,Bmw,F30,10,9000,Essence,Manuelle,9
130000.0,Bmw,X2,6,25000,Essence,Automatique,8
77000.0,Bmw,F30,6,21913,Essence,Automatique,7
14000.0,Bmw,M3,32,6250,Essence,Manuelle,8
52000.0,Bmw,Serie 1,12,16666,Essence,Manuelle,7
98000.0,Bmw,Serie 1,4,6250,Essence,Automatique,8
24000.0,Bmw,Serie 1,19,6920,Essence,Manuelle,7
29500.0,Bmw,Serie 1,14,20857,Essence,Manuelle,7
49000.0,Bmw,Serie 1,12,15833,Essence,Automatique,9
44000.0,Bmw,Serie 1,12,13833,Essence,Automatique,7
46000.0,Bmw,Serie 1,12,12666,Essence,Automatique,7
66900.0,Bmw,Serie 1,8,12875,Essence,Automatique,7
110000.0,Bmw,Serie 1,7,5714,Essence,Automatique,7
60000.0,Bmw,Serie 1,7,18782,Essence,Manuelle,7
123456.0,Bmw,Serie 1,7,18285,Essence,Manuelle,7
68000.0,Bmw,Serie 1,7,14000,Essence,Automatique,7
135000.0,Bmw,Serie 1,4,10500,Essence,Automatique,7
120500.0,Bmw,Serie 1,3,66666,Diesel,Automatique,6
74000.0,Bmw,Serie 2 Active Tourer,9,16000,Essence,Automatique,7
115000.0,Bmw,Serie 2 Cabriolet,6,13833,Essence,Automatique,8
123456.0,Bmw,Serie 2 Gran Tourer,2,11000,Essence,Automatique,8
18000.0,Bmw,Serie 3,31,4241,Essence,Manuelle,7
31500.0,Bmw,Serie 3,16,8217,Essence,Manuelle,7
54000.0,Bmw,Serie 3,8,22500,Essence,Manuelle,7
67000.0,Bmw,Serie 3,6,30000,Essence,Automatique,7
7000.0,Bmw,Serie 3,39,8547,Essence,Manuelle,9
19500.0,Bmw,Serie 3,28,7797,Essence,Manuelle,9
26000.0,Bmw,Serie 3,25,12000,Diesel,Manuelle,4
21000.0,Bmw,Serie 3,20,20000,Essence,Manuelle,7
29000.0,Bmw,Serie 3,18,7304,Essence,Manuelle,8
49000.0,Bmw,Serie 3,17,14705,Diesel,Automatique,10
32000.0,Bmw,Serie 3,17,14705,Essence,Manuelle,7
38000.0,Bmw,Serie 3,16,12812,Essence,Manuelle,7
48000.0,Bmw,Serie 3,14,9391,Essence,Manuelle,7
42000.0,Bmw,Serie 3,13,10113,Essence,Manuelle,7
39000.0,Bmw,Serie 3,13,10113,Diesel,Manuelle,18
46000.0,Bmw,Serie 3,12,10956,Essence,Manuelle,7
64000.0,Bmw,Serie 3,11,17272,Essence,Automatique,7
56000.0,Bmw,Serie 3,11,11952,Essence,Manuelle,7
