Prix,Marque,Modele,Age,Kilometrage,Energie,Boite_Vitesses,Puissance_Fiscale
30500.0,Peugeot,208,7.0,80000.0,Essence,Manuelle,5.0
23000.0,Peugeot,107,14.0,270.0,Essence,Manuelle,4.0
30500.0,Peugeot,208,7.0,80000.0,Essence,Manuelle,5.0
75000.0,Peugeot,3008,7.0,179000.0,Diesel,Automatique,6.0
25500.0,Peugeot,208,9.0,160000.0,Essence,Manuelle,5.0
26000.0,Peugeot,508,14.0,0.0,Diesel,Automatique,6.0
9000.0,Peugeot,207,14.0,103000.0,Diesel,Manuelle,5.0
25000.0,Peugeot,308,16.0,203000.0,Essence,Manuelle,6.0
26500.0,Peugeot,308,17.0,195000.0,Essence,Automatique,5.0
30000.0,Peugeot,208,10.0,113000.0,Essence,Manuelle,5.0
13000.0,Peugeot,Expert,24.0,99999.0,Diesel,Manuelle,7.0
24800.0,Peugeot,Autres,6.0,146000.0,Inconnu,Manuelle,5.0
11000.0,Peugeot,206,27.0,280.0,Essence,Manuelle,4.0
30500.0,Peugeot,208,7.0,80000.0,Essence,Manuelle,5.0
14500.0,Peugeot,Boxer,18.0,14500.0,Diesel,Manuelle,7.0
23500.0,Peugeot,208,8.0,113000.0,Essence,Manuelle,5.0
73000.0,Peugeot,3008,4.0,220000.0,Essence,Automatique,7.0
18000.0,Peugeot,307,22.0,430000.0,Diesel,Manuelle,8.0
23500.0,Peugeot,407,16.0,400000.0,Diesel,Manuelle,6.0
45000.0,Peugeot,2008,8.0,32500.0,Essence,Manuelle,5.0
39000.0,Peugeot,2008,10.0,195000.0,Essence,Manuelle,5.0
17800.0,Peugeot,206,22.0,200000.0,Essence,Manuelle,4.0
13000.0,Peugeot,106,28.0,372893.0,Essence,Manuelle,5.0
28000.0,Peugeot,308,0.0,141000.0,Essence,Manuelle,6.0
26300.0,Peugeot,208,8.0,146.0,Essence,Manuelle,5.0
79000.0,Peugeot,3008,4.0,145000.0,Diesel,Manuelle,7.0
37000.0,Peugeot,208,3.0,58000.0,Essence,Manuelle,4.0
16000.0,Peugeot,206,19.0,230000.0,Essence,Manuelle,5.0
32500.0,Peugeot,308,14.0,76000.0,Essence,Manuelle,6.0
24000.0,Peugeot,107,14.0,270.0,Essence,Manuelle,4.0
45000.0,Peugeot,208,3.0,29000.0,Essence,Manuelle,4.0
23800.0,Peugeot,308,14.0,317000.0,Essence,Manuelle,6.0
24000.0,Peugeot,207,15.0,165000.0,Essence,Manuelle,6.0
31500.0,Peugeot,208,5.0,80400.0,Essence,Manuelle,5.0
28000.0,Peugeot,308,13.0,187000.0,Essence,Manuelle,6.0
42500.0,Peugeot,2008,9.0,160000.0,Essence,Manuelle,5.0
88000.0,Peugeot,3008,5.0,75500.0,Essence,Automatique,7.0
28000.0,Peugeot,207,13.0,191000.0,Essence,Manuelle,5.0
62000.0,Peugeot,3008,7.0,230000.0,Essence,Automatique,9.0
19700.0,Peugeot,206,19.0,258000.0,Essence,Manuelle,5.0
27000.0,Peugeot,208,8.0,129000.0,Essence,Manuelle,4.0
47900.0,Peugeot,Partner,4.0,149000.0,Diesel,Manuelle,5.0
24300.0,Peugeot,Autres,7.0,170000.0,Essence,Manuelle,5.0
123456.0,Peugeot,308,15.0,200.0,Essence,Manuelle,6.0
23500.0,Peugeot,207,16.0,245000.0,Essence,Manuelle,5.0
56000.0,Peugeot,2008,5.0,104.0,Essence,Manuelle,6.0
57000.0,Peugeot,Expert,5.0,68000.0,Diesel,Manuelle,5.0
24000.0,Peugeot,208,12.0,210000.0,Essence,Manuelle,4.0
21000.0,Peugeot,407,21.0,210000.0,Essence,Manuelle,6.0
42000.0,Peugeot,308,8.0,30000.0,Essence,Manuelle,5.0
38000.0,Peugeot,308,11.0,130000.0,Essence,Manuelle,5.0
29000.0,Peugeot,208,7.0,44000.0,Essence,Manuelle,5.0
87000.0,Peugeot,3008,3.0,167000.0,Diesel,Automatique,7.0
22800.0,Peugeot,207,16.0,200.0,Diesel,Manuelle,5.0
22800.0,Peugeot,207,16.0,200.0,Diesel,Manuelle,5.0
11900.0,Peugeot,206,25.0,280.0,Essence,Manuelle,4.0
26800.0,Peugeot,Autres,8.0,116000.0,Essence,Manuelle,5.0
44000.0,Peugeot,308,9.0,145000.0,Diesel,Manuelle,6.0
25000.0,Peugeot,Autres,12.0,105000.0,Essence,Manuelle,5.0
43000.0,Peugeot,5008,9.0,250.0,Diesel,Manuelle,6.0
28500.0,Peugeot,207,13.0,190000.0,Essence,Manuelle,5.0
25000.0,Peugeot,208,9.0,150000.0,Essence,Automatique,5.0
13500.0,Peugeot,106,28.0,0.0,Essence,Manuelle,4.0
46000.0,Peugeot,308,9.0,150000.0,Diesel,Manuelle,6.0
84000.0,Peugeot,2008,1.0,9000.0,Essence,Automatique,7.0
25000.0,Peugeot,208,11.0,192000.0,Essence,Manuelle,5.0
130000.0,Peugeot,508,4.0,190000.0,Diesel,Automatique,7.0
27500.0,Peugeot,Autres,8.0,129000.0,Essence,Manuelle,5.0
22000.0,Peugeot,Partner,22.0,0.0,Essence,Manuelle,6.0
43000.0,Peugeot,3008,13.0,202000.0,Diesel,Manuelle,6.0
58000.0,Peugeot,Expert,4.0,174000.0,Diesel,Manuelle,7.0
32000.0,Peugeot,308,14.0,183000.0,Diesel,Manuelle,6.0
12000.0,Peugeot,106,28.0,300.0,Essence,Manuelle,4.0
22000.0,Peugeot,206,17.0,165416.0,Essence,Manuelle,6.0
37500.0,Peugeot,2008,11.0,203000.0,Essence,Manuelle,5.0
6500.0,Peugeot,205,26.0,330000.0,Essence,Manuelle,4.0
80000.0,Peugeot,Autres,3.0,160.0,Diesel,Manuelle,6.0
28000.0,Peugeot,208,9.0,150000.0,Essence,Manuelle,5.0
20000.0,Peugeot,407,20.0,277.0,Essence,Manuelle,9.0
110000.0,Peugeot,5008,7.0,110000.0,Diesel,Manuelle,7.0
130000.0,Peugeot,508,4.0,125600.0,Hybride,Automatique,10.0
26000.0,Peugeot,208,12.0,100000.0,Essence,Manuelle,5.0
50000.0,Peugeot,3008,9.0,231000.0,Essence,Automatique,9.0
14500.0,Peugeot,206,21.0,276000.0,Essence,Manuelle,4.0
8000.0,Peugeot,Autres,8.0,450000.0,Diesel,Manuelle,5.0
48000.0,Peugeot,508,12.0,220000.0,Diesel,Manuelle,7.0
50500.0,Peugeot,308,6.0,144355.0,Diesel,Manuelle,6.0
68000.0,Peugeot,Autres,7.0,190000.0,Diesel,Automatique,8.0
18000.0,Peugeot,Partner,19.0,281000.0,Diesel,Manuelle,7.0
28500.0,Peugeot,208,9.0,180000.0,Essence,Manuelle,5.0
27000.0,Peugeot,308,15.0,235.0,Essence,Manuelle,6.0
7000.0,Peugeot,309,34.0,300000.0,Essence,Manuelle,4.0
11000.0,Peugeot,306,26.0,425000.0,Diesel,Manuelle,6.0
39000.0,Peugeot,208,7.0,71000.0,Essence,Manuelle,5.0
7000.0,Peugeot,205,30.0,3000.0,Diesel,Manuelle,5.0
19500.0,Peugeot,Partner,11.0,1000.0,Essence,Manuelle,6.0
45000.0,Peugeot,2008,8.0,123000.0,Essence,Manuelle,5.0
27000.0,Peugeot,208,8.0,129000.0,Essence,Manuelle,4.0
1234.0,Peugeot,208,9.0,150.0,Essence,Manuelle,5.0
19500.0,Peugeot,206,14.0,217000.0,Essence,Manuelle,6.0
68500.0,Peugeot,3008,6.0,104841.0,Essence,Automatique,9.0
17000.0,Peugeot,206,15.0,250000.0,Essence,Manuelle,5.0
45000.0,Peugeot,Partner,8.0,244000.0,Diesel,Manuelle,5.0
69500.0,Peugeot,3008,8.0,248000.0,Diesel,Automatique,8.0
62000.0,Peugeot,3008,6.0,190000.0,Essence,Automatique,7.0
19500.0,Peugeot,2008,17.0,250000.0,Essence,Manuelle,6.0
34000.0,Peugeot,508,12.0,170000.0,Essence,Automatique,7.0
15000.0,Peugeot,Partner,23.0,400.0,Diesel,Manuelle,7.0
390000.0,Peugeot,208,9.0,61000.0,Essence,Manuelle,5.0
20000.0,Peugeot,206,17.0,1111.0,Essence,Manuelle,6.0
55000.0,Peugeot,Autres,4.0,164000.0,Diesel,Manuelle,6.0
40000.0,Peugeot,Autres,4.0,200000.0,Diesel,Manuelle,5.0
72000.0,Peugeot,Autres,4.0,100000.0,Diesel,Manuelle,6.0
35000.0,Peugeot,208,7.0,43000.0,Essence,Manuelle,5.0
1111.0,Peugeot,Partner,5.0,63000.0,Diesel,Manuelle,6.0
23500.0,Peugeot,308,14.0,380.0,Essence,Manuelle,6.0
12000.0,Peugeot,206,24.0,300000.0,Diesel,Manuelle,5.0
62000.0,Peugeot,Expert,5.0,190000.0,Diesel,Manuelle,6.0
35000.0,Peugeot,Partner,12.0,290000.0,Diesel,Manuelle,5.0
24500.0,Peugeot,107,13.0,169000.0,Essence,Manuelle,4.0
17800.0,Peugeot,206,25.0,0.0,Essence,Manuelle,5.0
23800.0,Peugeot,407,15.0,310000.0,Diesel,Manuelle,6.0
18000.0,Peugeot,307,22.0,0.0,Diesel,Manuelle,8.0
