,Marque,Modele,Status,Energie,Boite_Vitesses,Puissance_Fiscale,Age,Kilometrage,Prix
0,Alfa Romeo,156,occasion,Essence,Manuelle,8,24,12500,111.11
1,Alfa Romeo,159,occasion,Diesel,Manuelle,6,16,12500,26.5
2,Alfa Romeo,Giulietta,occasion,Essence,Manuelle,7,9,18891,38
3,Alfa Romeo,Giulietta,occasion,Essence,Automatique,9,9,20222,43
4,Alfa Romeo,Mito,occasion,Essence,Manuelle,9,14,10714,36.9
5,Alfa Romeo,Mito,occasion,Essence,Manuelle,5,13,13692,32
6,Alfa Romeo,Mito,occasion,Essence,Manuelle,6,11,16363,28
7,Renault,Clio,occasion,Hybride,Automatique,5,0,0,110
8,Audi,100,occasion,Diesel,Manuelle,7,38,3588,11
9,Audi,50,occasion,Essence,Manuelle,4,2,68179,7
10,Audi,80,occasion,Essence,Manuelle,7,35,8571,18
11,Audi,80,occasion,Diesel,Manuelle,8,44,3099,5
12,Audi,80,occasion,Essence,Manuelle,7,33,4132,17.5
13,Audi,A1,occasion,Essence,Manuelle,5,12,14916,35.5
14,Audi,A1,occasion,Essence,Manuelle,5,12,14916,35.5
15,Audi,A1,occasion,Essence,Manuelle,5,12,14916,35.8
16,Audi,A1,occasion,Diesel,Manuelle,6,12,10416,36
17,Audi,A1,occasion,Essence,Manuelle,5,12,14833,36.5
18,Audi,A3,occasion,Essence,Automatique,6,7,21428,68
19,Audi,A3,occasion,Essence,Automatique,6,6,20000,76
20,Audi,A3,occasion,Diesel,Manuelle,8,20,6817,19.7
21,Audi,A3,occasion,Diesel,Manuelle,6,16,21250,39
22,Audi,A3,occasion,Diesel,Manuelle,6,16,27500,34
23,Audi,A3,occasion,Essence,Manuelle,5,16,14375,35.5
24,Audi,A3,occasion,Essence,Manuelle,6,15,14666,38
25,Audi,A3,occasion,Diesel,Manuelle,6,15,17200,30
26,Audi,A3,occasion,Diesel,Manuelle,6,14,17857,37
27,Audi,A3,occasion,Essence,Automatique,6,12,11363,42
28,Audi,A3,occasion,Diesel,Manuelle,6,10,24000,54
29,Audi,A3,occasion,Diesel,Manuelle,5,10,13635,111.111
30,Audi,A3,occasion,Essence,Automatique,10,9,17000,67
31,Audi,A3,occasion,Essence,Manuelle,10,9,23111,55
32,Audi,A3,occasion,Essence,Manuelle,6,8,17044,55
33,Audi,A3,occasion,Essence,Automatique,6,6,24333,85
34,Audi,A3,occasion,Essence,Manuelle,6,5,21600,69
35,Audi,A4,occasion,Essence,Manuelle,7,18,16666,30
36,Audi,A4,occasion,Essence,Manuelle,9,13,10489,36
37,Audi,A4,occasion,Essence,Manuelle,7,11,22609,45
38,Audi,A4,occasion,Essence,Automatique,8,6,22726,78
39,Audi,A4,occasion,Essence,Manuelle,7,25,5454,16.5
40,Audi,A4,occasion,Essence,Manuelle,7,22,6198,20
41,Audi,A4,occasion,Essence,Manuelle,7,22,13636,23
42,Audi,A4,occasion,Essence,Manuelle,7,22,6198,22
43,Audi,A4,occasion,Diesel,Automatique,7,20,18500,25.5
44,Audi,A4,occasion,Diesel,Automatique,7,20,6817,123.456
45,Audi,A4,occasion,Diesel,Manuelle,7,20,6817,12.345
46,Audi,A4,occasion,Essence,Automatique,10,18,7575,32
47,Audi,A4,occasion,Essence,Manuelle,7,18,7575,25
48,Audi,A4,occasion,Essence,Manuelle,7,18,7575,18
49,Audi,A4,occasion,Diesel,Manuelle,7,17,8021,29
50,Audi,A4,occasion,Essence,Manuelle,7,14,25714,39.5
51,Audi,A4,occasion,Diesel,Manuelle,8,14,13642,42
52,Audi,A4,occasion,Essence,Automatique,7,14,12078,33
53,Audi,A4,occasion,Diesel,Manuelle,6,14,11928,50
54,Audi,A4,occasion,Essence,Manuelle,7,13,9692,37.9
55,Audi,A4,occasion,Essence,Manuelle,7,13,9692,37.9
56,Audi,A4,occasion,Essence,Manuelle,7,13,10489,29
57,Audi,A4,occasion,Essence,Manuelle,7,13,17538,36
58,Audi,A4,occasion,Essence,Automatique,7,12,22500,50
59,Audi,A4,occasion,Essence,Manuelle,7,12,14666,36.5
60,Audi,A4,occasion,Essence,Automatique,7,11,24545,44
61,Audi,A4,occasion,Essence,Manuelle,7,11,18454,45
62,Audi,A4,occasion,Essence,Manuelle,7,11,12396,40
63,Audi,A4,occasion,Essence,Manuelle,7,11,12396,45
64,Audi,A4,occasion,Essence,Manuelle,7,11,18545,43
65,Audi,A4,occasion,Essence,Manuelle,7,10,22000,52
66,Audi,A4,occasion,Essence,Automatique,8,5,21400,91
67,Audi,A4,occasion,Essence,Automatique,8,3,14000,120
68,Audi,A5,occasion,Essence,Automatique,8,6,25000,119
69,Audi,A5,occasion,Essence,Automatique,7,5,12200,119
70,Audi,A6,occasion,Essence,Automatique,9,7,19857,99
71,Audi,Q7,occasion,Essence,Manuelle,7,64,2130,15.5
72,Audi,Q2,occasion,Essence,Automatique,6,5,28000,87
73,Audi,Q3,occasion,Essence,Automatique,8,6,15000,90
74,Audi,Q3,occasion,Diesel,Manuelle,8,11,14363,76
75,Audi,Q3,occasion,Essence,Automatique,9,8,11375,95
76,Audi,Q3,occasion,Essence,Automatique,8,7,18571,85
77,Audi,Q5,occasion,Essence,Automatique,13,14,12857,49.8
78,Audi,Q5,occasion,Diesel,Manuelle,10,11,27272,70
79,Audi,Q7,occasion,Diesel,Automatique,16,16,12549,53.8
80,Audi,S4,occasion,Essence,Manuelle,9,24,8625,36
81,Audi,A4,occasion,Essence,Manuelle,7,13,9692,37.9
83,Tata,Xénon,occasion,Diesel,Manuelle,7,5,44800,35
84,Renault,Clio,occasion,Essence,Manuelle,5,3,37109,60
85,Cupra,Leon,occasion,Essence,Automatique,11,2,50000,134.9
86,Volkswagen,Golf,occasion,Essence,Automatique,5,1,34000,99
87,Wallyscar,16,occasion,Essence,Manuelle,7,1,5000,45
88,Renault,Master,occasion,Diesel,Manuelle,8,0,0,8
91,Peugeot,106,occasion,Essence,Manuelle,4,29,3918,9.8
93,Peugeot,208,occasion,Essence,Manuelle,6,24,5922,111
94,Renault,R19,occasion,Essence,Manuelle,7,24,8333,10.7
95,Renault,Clio,occasion,Essence,Manuelle,4,23,4840,17.5
96,Volkswagen,Polo,occasion,Essence,Manuelle,4,22,5303,13
98,Renault,Laguna,occasion,Diesel,Manuelle,6,15,4333,30.5
99,Renault,Clio,occasion,Essence,Manuelle,5,14,7951,23
100,Dongfeng,S50,occasion,Essence,Manuelle,6,13,9278,42
102,Citroen,C3,occasion,Essence,Manuelle,5,12,10165,26.5
103,Peugeot,208,occasion,Essence,Manuelle,5,11,17000,26.5
104,Citroen,C3,occasion,Essence,Manuelle,4,7,22000,32
105,Chery,QQ,occasion,Essence,Manuelle,4,7,12857,21.5
106,Tata,Xénon,occasion,Diesel,Manuelle,7,7,40428,35
