URL,Modèle,Description,Prix,Kilométrage,Mise en circulation,Énergie,Boîte de vitesse,Puissance fiscale,Transmission,Carrosserie,État général,Anciens propriétaires,Date annonce
https://www.automobile.tn/fr/occasion/volkswagen/tiguan/120698,Volkswagen Tiguan,1.4 TSi 16V 245 e-Hybrid BMT DSG6 150 cv Boîte auto,155 000 DT,19 000 KM,04.2021,Hybride rechargeable essence,Automatique,8 CV,Traction,SUV,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/mercedes-benz/classe-b/119411,Mercedes-Benz Classe B,250 e 1.3 i 16V EQ Power 8G-DCT 163 cv Boîte auto,155 000 DT,43 000 KM,07.2021,Hybride rechargeable essence,Automatique,8 CV,Traction,Monospace,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/mercedes-benz/gle-coupe/112242,Mercedes-Benz GLE Coupé AMG,350 de 2.0 d 16V 320 EQ Power 4MATIC 9G-TRONIC 194 cv Boîte auto,379 000 DT,65 000 KM,01.2021,Hybride rechargeable diesel,Automatique,11 CV,Intégrale,SUV,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/mercedes-benz/classe-e/119842,Mercedes-Benz Classe E Exclusive,200 d 1.6 d 16V 9G-TRONIC 160 cv Boîte auto,152 000 DT,110 000 KM,01.2020,Diesel,Automatique,8 CV,Intégrale,Berline,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/mercedes-benz/gle-coupe/119129,Mercedes-Benz GLE Coupé AMG,350 e 2.0 Ti 16V 333 EQ Power 4MATIC 9G-TRONIC 211 cv Boîte auto,379 000 DT,17 000 KM,01.2022,Hybride rechargeable essence,Automatique,12 CV,Intégrale,SUV,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/peugeot/208/120797,Peugeot 208 Populaire,1.2 PureTech 12V S&S 75 cv,41 500 DT,22 000 KM,07.2023,Essence,Manuelle,4 CV,Traction,Citadine,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/mercedes-benz/classe-s/120644,Mercedes-Benz Classe S,450 4.7 i V8 32V 7G-TRONIC 340 cv Boîte auto,78 000 DT,169 000 KM,02.2008,Essence,Automatique,15 CV,Traction,Berline,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/renault/symbol/120896,Renault Symbol Confort,1.2 75 cv,23 000 DT,275 000 KM,10.2012,Essence,Manuelle,5 CV,Traction,Berline,Très bon,2ème main,29.11.2025
https://www.automobile.tn/fr/occasion/dacia/sandero-stepway/120352,Dacia Sandero Stepway,1.0 L 100 cv,47 500 DT,98 000 KM,02.2021,Essence,Manuelle,5 CV,Traction,SUV,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/dacia/logan-mcv/120299,Dacia Logan MCV,N/A,42 500 DT,75 000 KM,06.2020,Essence,Manuelle,5 CV,Traction,Monospace,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/mercedes-benz/gla/120292,Mercedes-Benz GLA AMG,250e 1.3 i 16V 218 EQ Power 8G-DCT 158 cv Boîte auto,169 000 DT,35 000 KM,02.2022,Hybride rechargeable essence,Automatique,8 CV,Traction,SUV,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/volkswagen/golf-8/120280,Volkswagen Golf 8 Style,1.5 TSi 16V BMT 150 cv,89 500 DT,76 000 KM,03.2021,Essence,Manuelle,7 CV,Traction,Compacte,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/volkswagen/golf-8/120279,Volkswagen Golf 8,N/A,76 500 DT,153 000 KM,10.2021,Essence,Automatique,6 CV,Traction,Compacte,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/audi/a3-sportback/120278,Audi A3 Sportback S-Line,40 1.4 TFSIe 16V 204 Plug in Hybrid S Tronic6 150 cv Boîte auto,129 000 DT,98 000 KM,01.2022,Hybride rechargeable essence,Automatique,8 CV,Traction,Compacte,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/renault/megane/118624,Renault Megane,1.5 Blue dCi 115 cv,57 500 DT,170 000 KM,09.2020,Diesel,Manuelle,5 CV,Traction,Compacte,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/mercedes-benz/glc-coupe/118542,Mercedes-Benz GLC Coupé AMG,300 e 2.0 i 16V 320 EQ Power 4MATIC 9G-TRONIC 211 cv Boîte auto,198 000 DT,73 000 KM,10.2021,Hybride rechargeable essence,Automatique,12 CV,Intégrale,SUV,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/mercedes-benz/classe-a/118017,Mercedes-Benz Classe A AMG Premium,250 e 1.3 Ti 16V 218 PHEV 8G-DCT 158 cv Boîte auto,127 000 DT,48 000 KM,02.2021,Hybride rechargeable essence,Automatique,8 CV,Traction,Compacte,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/mercedes-benz/eqa/117980,Mercedes-Benz EQA AMG Line,250+ 190 cv Boîte auto,147 000 DT,50 000 KM,07.2022,Electrique,Automatique,8 CV,Traction,SUV,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/peugeot/3008/117888,Peugeot 3008 GT-Line,1.2 THP Puretech 12V GPF S&S 130 cv,76 000 DT,115 000 KM,03.2022,Essence,Manuelle,6 CV,Traction,SUV,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/volkswagen/tiguan/117689,Volkswagen Tiguan Highline,2.0 TFSI 16V 4Motion DSG7 180 cv Boîte auto,89 000 DT,108 000 KM,03.2019,Essence,Automatique,12 CV,Intégrale,SUV,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/mercedes-benz/classe-a/117657,Mercedes-Benz Classe A AMG Premium,250 e 1.3 Ti 16V 218 PHEV 8G-DCT 158 cv Boîte auto,125 000 DT,80 000 KM,09.2021,Hybride rechargeable essence,Automatique,8 CV,Traction,Compacte,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/mercedes-benz/classe-a/117306,Mercedes-Benz Classe A AMG Premium,250 e 1.3 Ti 16V 218 EQ Power 8G-DCT 163 cv Boîte auto,169 000 DT,38 000 KM,03.2024,Hybride rechargeable essence,Automatique,8 CV,Traction,Compacte,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/land-rover/range-rover-evoque/117303,Land Rover Range Rover Evoque R-Dynamic HSE,N/A,179 000 DT,98 000 KM,10.2022,Hybride rechargeable essence,Automatique,11 CV,Traction,SUV,Très bon,1ère main,29.11.2025
https://www.automobile.tn/fr/occasion/bmw/serie-5/116958,BMW Série 5 Pack M,530e xDrive 2.0 i 16V 292 Plug in Hybrid Steptronic8 184 cv Boîte auto,189 000 DT,53 000 KM,04.2021,Hybride rechargeable essence,Automatique,10 CV,Intégrale,Berline,Très bon,1ère main,29.11.2025
