Nom,Description,Prix,Référence,Main,Kilométrage,Catégorie,1ère Immat.,Puissance Fiscale,Moteur,Carburant,Consommation,Transmission,URL
Land Rover Discovery Sport,2 l,"96,000 DT",5384,1ere main,184 000 Km,SUV,Juillet 2017,8 cv,150 cv,Diesel,6.2L/100KM,Automatique,https://www.sparkauto.tn/listing-detail/334/LandRoverDiscoverySport
LAND ROVER RANGE ROVER SPORT,3.0 l HSE,"157,000 DT",6135,1ere main,160 000 Km,SUV,Février 2014,16 cv,256 cv,Diesel,7.1 L/100 KM,Manuelle,https://www.sparkauto.tn/listing-detail/333/LANDROVERRANGEROVERSPORT
Kia Sportage,1.6L,"63,000 DT",5969,1 ere Main,126 000 Km,SUV,Octobre 2016,8 CV,135 CV,Essence,6.4 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/331/KiaSportage
Cupra Formentor,2 l,"135,000 DT",5387,1ere main,26 000 Km,SUV,Mars 2024,11 cv,190cv,Essence,7.5 L/100 KM,Automatique,https://www.sparkauto.tn/listing-detail/330/CupraFormentor
Jaguar F-Pace,2 l,"125,000 DT",5908,1ere main,159 000 Km,SUV,Juillet 2018,9 cv,163 cv,Diesel,6.2L/100KM,Manuelle,https://www.sparkauto.tn/listing-detail/329/JaguarF-Pace
Nissan Qashqai,1.6 l,"38,000 DT",5813,1ere main,103 000 Km,,Avril 2013,7 cv,116 cv,Essence,5.9 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/328/NissanQashqai
Ford EcoSport,1.0 lEcoBoost,"58,000 DT",5696,1ere main,49 500 Km,SUV,Février 2020,7 cv,125 cv,Essence,6.2L/100KM,Manuelle,https://www.sparkauto.tn/listing-detail/327/FordEcoSport
Mazda 3,1.6 l,"42,000 DT",46,2ème main,112 000 Km,Berline,Mai 2016,6 cv,120 cv,Essence,5.8 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/326/Mazda33
Volkswagen Tiguan,2.0L TSI,"38,000 DT",5744,1 ere Main,184 000 Km,SUV,Juin 2010,12 cv,200 CV,Essence,8.5 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/324/VolkswagenTiguan
Volkswagen Tiguan,2.0L TSI,"42,000 DT",5646,1 ere Main,158 000 Km,SUV,Novembre 2010,11 CV,200 CV,Essence,8.5 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/323/VolkswagenTiguan
LAND ROVER RANGE ROVER VELAR,2 l,"182,000 DT",5938,1ere main,92 000 Km,SUV,Octobre 2017,15 cv,240 ch,Diesel,6.2L/100KM,Automatique,https://www.sparkauto.tn/listing-detail/322/LANDROVERRANGEROVERVELAR
Volvo xc60,2 l,"286,000 DT",5934,1ere main,19 000 Km,SUV,Juillet 2022,20 CV,462 ch,Hybride,3.8 L/100 KM,Automatique,https://www.sparkauto.tn/listing-detail/321/Volvoxc60
Mercedes CLA 180,1.6L,"66,000 DT",5667,1 ere Main,143 000 Km,Berline,Juillet 2013,7 CV,122 CV,Essence,5.6 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/320/MercedesCLA180
Audi A5,1.4L,"97,000 DT",5529,1 ere Main,164 000 Km,Berline,Novembre 2020,8 CV,130 CV,Essence,6.1 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/319/AudiA5
MG ZS,1.6L,"62,000 DT",5420,1 ere Main,92 000 Km,SUV,Juillet 2020,7 CV,114 CV,Essence,7.8 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/318/MGZS
Seat Leon,1.2L TSI,"44,900 DT",5868,1 ere Main,158 000 Km,Coupé,Mai 2017,6 CV,110 CV,Essence,4.8 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/317/SeatLeon
Jeep Compass,1.4 T,"87,000 DT",5716,1 ere Main,45 000 Km,SUV,Mars 2021,8 CV,130 CV,Essence,6.0 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/316/JeepCompass
Peugeot 2008,1.2 Puretech,"75,500 DT",5090,1ere main,43 000 Km,SUV,Mai 2020,5 cv,100 cv,Essence,6.1 L/100 km,Manuelle,https://www.sparkauto.tn/listing-detail/315/Peugeot2008
Geely GX3,1.5L CVT,"47,000 DT",5518,1ere main,73 000 Km,SUV,Septembre 2021,6 cv,103 cv,Essence,6.3L/100KM,Manuelle,https://www.sparkauto.tn/listing-detail/314/GeelyGX3
Volkswagen Golf 8,1.0 l eTSI,"88,000 DT",5759,1ere main,66 000 Km,Compact,Juin 2022,Ariana,110 cv,Micro-hybride,5.4 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/313/VolkswagenGolf8
