iter	RMSE
0	62526.07839
1	58991.52781
2	55725.99756
3	52649.04732
4	49914.00603
5	47247.54713
6	44944.71233
7	42985.78661
8	41200.66446
9	39619.63074
10	38096.66966
11	36916.43671
12	35754.43191
13	34732.07613
14	33806.78504
15	32976.33501
16	32293.66629
17	31648.38944
18	30948.73883
19	30352.41616
20	29897.08816
21	29477.66335
22	29045.63505
23	28709.41318
24	28419.052
25	28143.45643
26	27878.31229
27	27687.88719
28	27564.33006
29	27377.38779
30	27187.53709
31	27120.97254
32	26947.68054
33	26769.37009
34	26604.2921
35	26485.70253
36	26299.62324
37	26195.6638
38	26064.25291
39	25951.51877
40	25857.79037
41	25768.80762
42	25615.76056
43	25474.48818
44	25316.53703
45	25196.48256
46	25095.71399
47	24968.73835
48	24904.68132
49	24833.60106
50	24757.8518
51	24633.34749
52	24562.82873
53	24505.81988
54	24424.71277
55	24371.07444
56	24265.43356
57	24199.1647
58	24157.02114
59	24070.36479
60	24021.89533
61	23978.81342
62	23911.64631
63	23811.58084
64	23706.11784
65	23616.89502
66	23582.77894
67	23515.07764
68	23468.7643
69	23414.87811
70	23349.51621
71	23270.2506
72	23192.71629
73	23130.36324
74	23046.95948
75	22996.91341
76	22911.02365
77	22849.83152
78	22814.9144
79	22762.60313
80	22675.93855
81	22647.77016
82	22595.43436
83	22508.09766
84	22420.01638
85	22402.13032
86	22364.36654
87	22287.4556
88	22247.42467
89	22200.38253
90	22153.17069
91	22054.34928
92	21969.45312
93	21916.74731
94	21803.88194
95	21741.53132
96	21664.98915
97	21603.66471
98	21544.7057
99	21467.60184
