iter	Passed	Remaining
0	139	13855
1	141	6919
2	142	4616
3	152	3653
4	153	2925
5	155	2437
6	156	2083
7	157	1816
8	162	1638
9	165	1485
10	166	1348
11	168	1232
12	169	1133
13	172	1060
14	174	988
15	175	921
16	177	864
17	179	816
18	180	769
19	181	727
20	184	694
21	189	671
22	193	648
23	196	621
24	199	598
25	202	575
26	204	554
27	206	531
28	207	508
29	210	490
30	211	471
31	212	451
32	213	433
33	216	419
34	217	404
35	218	388
36	219	374
37	221	360
38	222	348
39	223	335
40	225	324
41	229	316
42	230	306
43	234	298
44	235	288
45	237	278
46	238	268
47	240	260
48	241	251
49	242	242
50	244	234
51	245	226
52	247	219
53	248	211
54	250	204
55	252	198
56	253	191
57	255	185
58	257	178
59	258	172
60	259	166
61	263	161
62	265	155
63	266	149
64	267	143
65	268	138
66	269	132
67	270	127
68	271	122
69	272	116
70	273	111
71	274	106
72	275	102
73	277	97
74	279	93
75	280	88
76	282	84
77	283	79
78	284	75
79	285	71
80	286	67
81	287	63
82	288	59
83	289	55
84	290	51
85	291	47
86	292	43
87	294	40
88	295	36
89	296	32
90	297	29
91	298	25
92	299	22
93	300	19
94	301	15
95	302	12
96	303	9
97	304	6
98	305	3
99	306	0
